userid,ISBN,rating
243,60915544,10
243,60977493,7
243,156006529,0
243,316096199,0
243,316601950,9
243,316602906,0
243,316666343,0
243,316693006,0
243,316776963,9
243,316899984,7
243,345311396,0
243,345378490,0
243,345404793,0
243,345465083,0
243,375400117,10
243,375705856,0
243,375727345,0
243,380717018,0
243,380718332,0
243,385497466,0
243,385508042,0
243,385509456,0
243,385511612,0
243,385720106,7
243,385730586,0
243,425092917,0
243,042511774X,0
243,425163407,9
243,440224764,0
243,440225701,0
243,440226430,0
243,440234743,0
243,044023722X,7
243,446353205,0
243,446360856,0
243,446364800,9
243,446600474,0
243,446605484,0
243,446606383,6
243,446610399,0
243,446612790,0
243,449006522,6
243,449911004,0
243,451162072,0
243,452282152,0
243,051512219X,0
243,515130389,0
243,517122707,0
243,553580388,8
243,671023616,0
243,671027387,0
243,671042572,0
243,684848783,0
243,743486226,0
243,140003180X,0
243,155874262X,5
254,006000438X,0
254,60930535,0
254,60934719,0
254,61020710,0
254,64471047,7
254,014028009X,0
254,140298479,0
254,014100018X,0
254,142001740,9
254,312305060,0
254,316569321,0
254,316769487,0
254,316776963,0
254,345350499,0
254,345384466,0
254,345387651,0
254,345434803,0
254,373218400,0
254,375724370,0
254,375727345,0
254,380789019,0
254,380789035,10
254,380973650,9
254,380977788,0
254,038542017X,0
254,399146431,9
254,399501487,0
254,413537900,0
254,425092917,0
254,425145638,0
254,439064864,9
254,439064872,9
254,439136350,9
254,439136369,9
254,439139597,9
254,043935806X,0
254,440211263,0
254,440241413,0
254,440403278,0
254,440967694,0
254,441003257,0
254,441172695,0
254,441569595,0
254,446350109,0
254,446354678,0
254,446356832,0
254,446364762,0
254,446527785,0
254,446605239,0
254,451137965,0
254,451167317,8
254,451167716,0
254,451524934,9
254,451526341,8
254,452277337,0
254,452282152,0
254,051510521X,0
254,051512317X,0
254,051513287X,0
254,553250426,0
254,553250531,0
254,553265741,0
254,553280589,0
254,590353403,9
254,618002219,9
254,618002227,8
254,671021001,7
254,671525743,0
254,671527215,0
254,679735909,0
254,067976402X,0
254,679781587,8
254,684833395,0
254,684872153,0
254,684874350,0
254,743225406,0
254,804106304,0
254,080410753X,0
507,60392452,0
507,60934417,0
507,60938455,0
507,64400026,0
507,014029628X,0
507,142001740,10
507,312990456,0
507,316666009,0
507,345348036,0
507,345404769,0
507,345413369,0
507,345413377,0
507,425188787,0
507,440236061,0
507,446360589,0
507,446394521,0
507,451184718,9
507,553292722,0
507,055356160X,0
507,553564528,7
507,553569910,0
507,553575538,7
507,553576801,7
507,553576925,0
507,055357695X,7
507,553578693,0
507,553582135,0
507,553582526,0
507,553583441,7
507,553583468,7
507,068484267X,0
507,743460529,0
507,786817070,0
507,821769340,0
507,821769367,0
626,971880107,0
638,316603287,9
638,316666343,10
638,316693006,10
638,316693200,9
638,316769487,10
638,316776963,10
638,316779423,10
638,316779490,9
638,316789089,10
638,316969443,10
638,345339711,10
638,345452550,0
638,374172897,0
638,385420161,9
638,385504209,10
638,385505833,10
638,039304016X,0
638,399147128,0
638,039914739X,0
638,425184129,9
638,446520802,0
638,446523569,10
638,446525502,9
638,446525537,9
638,446527793,10
638,446531332,10
638,670892963,7
638,679442790,10
638,679746048,7
638,743206045,0
638,743406176,10
638,080411868X,0
638,1558747028,10
643,349101779,0
643,552137030,8
643,671894455,7
741,60085444,0
741,312422156,0
741,312971346,0
741,345384350,0
741,380723638,0
741,425124347,0
741,425147517,0
741,425155404,0
741,425166619,0
741,044022165X,0
741,446364762,0
741,515118656,0
741,553561618,0
741,765341972,0
882,60502258,0
882,60915544,0
882,64401847,10
882,70212570,0
882,312195516,0
882,312274920,0
882,345416260,0
882,373218400,5
882,373484224,7
882,373484410,0
882,375707972,0
882,375724370,0
882,380018179,10
882,380789019,0
882,385492081,0
882,385504209,10
882,425179672,10
882,440221595,0
882,044022425X,0
882,440226430,0
882,440235162,10
882,440514428,0
882,446605239,0
882,446606812,0
882,446610399,0
882,446611867,0
882,449212602,0
882,515130389,0
882,515134368,6
882,515135062,6
882,553250426,10
882,553250531,0
882,553258001,0
882,553272586,5
882,553278223,0
882,553280589,10
882,553569058,0
882,553569074,0
882,553571656,0
882,553572997,10
882,670869902,0
882,067101420X,4
882,671708635,0
882,679429220,9
882,679457313,0
882,067976402X,10
882,679781587,10
882,684874350,0
882,743457943,5
882,786866276,0
882,804114986,0
929,345285549,5
929,439404371,8
929,440211727,0
929,440224624,6
929,451169530,6
929,055321313X,0
929,553234811,6
929,553250426,0
929,553296981,10
929,671617028,8
929,067168390X,0
929,671868691,0
929,1573225789,0
1025,60928336,5
1025,142000663,10
1025,330262130,0
1025,330267388,0
1025,345361792,0
1025,380012863,8
1025,552124753,10
1025,552996009,9
1025,552998001,9
1025,590112899,0
1025,590660543,0
1025,068484267X,9
1025,743225082,8
1025,749397543,8
1025,971880107,0
1211,99771519,9
1211,330367358,8
1211,330375253,0
1211,385504209,9
1211,440224837,0
1211,1559029838,0
1424,60512822,7
1424,60930535,7
1424,61015725,8
1424,61097314,5
1424,64405176,0
1424,99771519,8
1424,142001430,7
1424,151002290,6
1424,385720106,7
1424,425158616,0
1424,440222656,0
1424,440235162,0
1424,440236673,0
1424,446608815,0
1424,452282152,0
1424,671776134,8
1424,743224574,0
1424,767902521,8
1424,076790382X,0
1424,786868716,0
1424,786885688,0
1424,804106304,6
1435,60915544,10
1435,60922532,0
1435,345370775,0
1435,345378490,5
1435,345380371,0
1435,345387651,5
1435,034540288X,0
1435,375400117,0
1435,380718340,0
1435,038548951X,0
1435,399133143,5
1435,425133516,0
1435,425161242,0
1435,425169863,0
1435,425180638,0
1435,425182908,0
1435,440211727,0
1435,044023722X,0
1435,441172695,0
1435,441172717,0
1435,446611239,10
1435,446672211,8
1435,451183665,7
1435,451208765,4
1435,515127221,0
1435,553568760,0
1435,671024108,0
1435,671024248,4
1435,671028383,0
1435,671042262,0
1435,671537458,0
1435,068484267X,8
1435,684848783,5
1435,688177859,0
1435,080410753X,10
1435,971880107,5
1435,155874262X,10
1674,60512806,0
1674,345384466,7
1674,375725784,10
1674,038548951X,10
1674,446525804,0
1674,449912558,5
1674,553348981,0
1674,679429220,0
1733,312971346,0
1733,312983824,5
1733,316089699,5
1733,345447840,10
1733,345447867,0
1733,373218400,9
1733,380018179,0
1733,425181111,7
1733,440168724,9
1733,440213290,0
1733,446360589,0
1733,446364762,5
1733,515118230,8
1733,051513287X,9
1733,059035342X,10
1733,971880107,1
1733,1551664348,7
1848,156027321,10
1848,345342968,10
1848,345347536,0
1848,345348109,9
1848,345353145,0
1848,345378482,8
1848,034540288X,0
1848,345417623,8
1848,345422384,0
1848,345422392,0
1848,440211727,0
1848,441102670,0
1848,441104029,0
1848,441172695,0
1848,449219364,0
1848,451169530,5
1848,451177096,0
1848,553580272,0
1848,671027360,0
1848,671027387,0
1848,671510053,0
1848,671758896,0
1848,786868716,10
1848,812511816,10
1848,812550307,0
1848,812550706,8
1903,60392452,0
1903,316777730,10
1903,316779490,0
1903,345339703,0
1903,345339711,0
1903,345339738,0
1903,375706410,0
1903,385492081,0
1903,385720920,0
1903,385722192,2
1903,439064864,0
1903,439136350,0
1903,439139597,0
1903,044021145X,0
1903,525947647,0
1903,671041789,0
1903,679430946,10
1903,743211375,0
1903,074343627X,0
1903,743457358,0
1903,767902513,0
1903,812550706,10
1903,971880107,0
1903,1573228583,0
1903,1592400876,0
2030,140298479,10
2030,440108268,10
2030,044020562X,10
2033,140386645,8
2033,142000663,10
2033,345337662,5
2033,345351525,0
2033,385265700,0
2033,439064864,9
2033,439136350,9
2033,439139597,9
2033,043935806X,9
2033,440213525,0
2033,440220602,0
2033,440221471,0
2033,044022165X,0
2033,449003787,0
2033,051513628X,6
2033,515136379,0
2033,515136530,0
2033,553573136,8
2033,590353403,9
2033,671776975,0
2033,765342987,10
2033,786889020,0
2033,812575717,10
2110,60987529,7
2110,140298479,0
2110,151008116,5
2110,345314255,10
2110,345317580,10
2110,345335287,10
2110,440901588,0
2110,446394521,0
2110,451137965,9
2110,451149513,0
2110,051512463X,8
2110,515127396,8
2110,515133973,0
2110,515134384,5
2110,059035342X,10
2110,059045367X,8
2110,671042858,0
2110,671527215,9
2110,671693816,0
2110,786868716,0
2132,312979886,0
2179,60392452,9
2179,312263120,8
2179,385504209,10
2179,446532231,9
2179,451524934,8
2179,051513287X,0
2179,590353403,10
2179,618002219,9
2179,886777844,9
2276,61030643,8
2276,006109918X,0
2276,345303067,0
2276,345366239,0
2276,034538475X,0
2276,345391055,0
2276,345404793,9
2276,345413881,0
2276,345447867,9
2276,380002930,9
2276,385505833,5
2276,385510438,0
2276,425119653,8
2276,425155943,0
2276,425158616,0
2276,425172546,9
2276,425177351,0
2276,425182908,4
2276,440220793,7
2276,440221471,10
2276,440236673,10
2276,440241537,0
2276,446605484,0
2276,446607657,0
2276,446609323,9
2276,446609404,0
2276,446612790,10
2276,449212602,0
2276,449227421,0
2276,451153553,0
2276,451161343,0
2276,451167317,0
2276,451184963,0
2276,451204891,9
2276,553250531,0
2276,553263226,10
